0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:40 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:40 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:40 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:40 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:41 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/detailRecomCourse.jsp?name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 18261
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:42 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:42 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:42 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:42 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:45 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/recomLoginForm.jsp?name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 13687
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:45 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:45 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:45 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:45 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:45 +0900] "GET /sistSemiProject/image/b1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:47 +0900] "POST /sistSemiProject/recomCourse/recomLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:48 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/detailRecomCourse.jsp&name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 18680
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:48 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:48 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:48 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:48 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:56 +0900] "GET /sistSemiProject/index.jsp?main=login/logoutAction.jsp HTTP/1.1" 200 7593
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:56 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:56 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:56 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:56 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:56 +0900] "POST /sistSemiProject/myCourse/deleteTemp.jsp HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:57 +0900] "GET /sistSemiProject/index.jsp HTTP/1.1" 200 29771
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:57 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:57 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:57 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:57 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:58 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/recomCourseList.jsp HTTP/1.1" 200 9778
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:58 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:58 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:58 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:58 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:59 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/detailRecomCourse.jsp?name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 18261
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:59 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:59 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:59 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:59 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:45:03 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/recomLoginForm.jsp?name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 13687
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:45:03 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:45:03 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:45:03 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:45:03 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:45:03 +0900] "GET /sistSemiProject/image/b1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:10:25 +0900] "GET /sistSemiProject/index.jsp?main=about/introduce.jsp HTTP/1.1" 200 11544
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:10:25 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:10:25 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:10:25 +0900] "GET /sistSemiProject/jeju/introduce.png HTTP/1.1" 200 316744
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:10:25 +0900] "GET /sistSemiProject/jeju/jejuair.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:10:25 +0900] "GET /sistSemiProject/jeju/sklental.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:10:25 +0900] "GET /sistSemiProject/jeju/yanolja.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:10:25 +0900] "GET /sistSemiProject/jeju/socar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:10:25 +0900] "GET /sistSemiProject/jeju/yugiuhtte.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:10:25 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:10:25 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
